ID,title,author_ID,genre,publishedAt,pages,price,stock,status_code,createdAt,createdBy,modifiedAt,modifiedBy
11111111-1111-1111-1111-111111111111,Clean Code,a1111111-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Programming,2008-08-01,464,39.99,120,A,2022-03-11T00:00:00.000Z,admin,2008-06-30T00:00:00.000Z,editor
22222222-2222-2222-2222-222222222222,Domain-Driven Design,a2222222-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Software Engineering,2003-09-01,560,49.99,80,L,2002-05-24T00:00:00.000Z,admin,2008-10-04T00:00:00.000Z,editor
33333333-3333-3333-3333-333333333333,Refactoring,a3333333-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Programming,1999-07-08,431,45.00,60,U,2003-11-13T00:00:00.000Z,admin,2004-02-08T00:00:00.000Z,editor
44444444-4444-4444-4444-444444444444,Test-Driven Development,a3333333-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Programming,2002-05-01,240,35.00,40,A,2006-11-23T00:00:00.000Z,admin,2012-05-20T00:00:00.000Z,editor
55555555-5555-5555-5555-555555555555,Effective Java,a1111111-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Programming,2008-05-28,416,50.00,100,L,2007-11-19T00:00:00.000Z,admin,2023-10-13T00:00:00.000Z,editor
66666666-6666-6666-6666-666666666666,The Pragmatic Programmer,a2222222-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Programming,1999-10-30,352,42.00,70,U,2012-08-23T00:00:00.000Z,admin,2018-06-27T00:00:00.000Z,editor
77777777-7777-7777-7777-777777777777,The Pragmatic Programmer (2nd Ed.),a2222222-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Programming,2019-09-13,352,48.00,90,A,2020-10-05T00:00:00.000Z,admin,2009-01-14T00:00:00.000Z,editor
88888888-8888-8888-8888-888888888888,Code Complete,a3333333-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Programming,2004-06-09,960,55.00,150,L,2012-08-13T00:00:00.000Z,admin,2017-02-25T00:00:00.000Z,editor
99999999-9999-9999-9999-999999999999,Object-Oriented Analysis and Design,a1111111-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Software Engineering,1994-01-01,500,47.00,50,U,2012-12-29T00:00:00.000Z,admin,2019-08-24T00:00:00.000Z,editor
10101010-1010-1010-1010-101010101010,The C++ Programming Language,a3333333-aaaa-aaaa-aaaa-aaaaaaaaaaaa,Programming,2013-05-19,1366,65.00,200,A,2020-04-01T00:00:00.000Z,admin,2002-07-22T00:00:00.000Z,editor
